Rating,Datadate,Content,BOW,Sentiment Score
1,16/3/2020,"man, every time the switch goes back in stock its up for like, five seconds and then goes out of stock again :) i’ve been trying to get one for the past three days and its impossible! every time i get close to ordering it, the page redirects me and tells me the item is no longer in stock. sucks but at this rate i would rather buy a regular switch than pay the bloated scalper price. which is a shame but what can you do.","Counter({'stock': 3, 'every': 2, 'time': 2, 'switch': 2, 'go': 2, 'get': 2, 'man': 1, 'back': 1, 'like': 1, 'five': 1, 'second': 1, 'trying': 1, 'one': 1, 'past': 1, 'three': 1, 'day': 1, 'impossible': 1, 'close': 1, 'ordering': 1, 'page': 1, 'redirects': 1, 'tell': 1, 'item': 1, 'longer': 1, 'suck': 1, 'rate': 1, 'would': 1, 'rather': 1, 'buy': 1, 'regular': 1, 'pay': 1, 'bloated': 1, 'scalper': 1, 'price': 1, 'shame': 1})",-0.147222222
1,29/3/2020,"wont connect to my tv, everything else I own connects to my tv just fine. but the nintendo switch wont. nothing I do will fix it and I'm in the IT so I should be able to fix it just fine. Even the reps couldn't help over the phone or remotely","Counter({'wont': 2, 'tv': 2, 'fine': 2, 'fix': 2, 'connect': 1, 'everything': 1, 'else': 1, 'connects': 1, 'nintendo': 1, 'switch': 1, 'nothing': 1, 'able': 1, 'even': 1, 'rep': 1, 'could': 1, 'help': 1, 'phone': 1, 'remotely': 1})",0.366666667
4,30/3/2020,"The bonus Ematic controller doesn't work at all. Even if it's a bonus/free item, it should STILL work. Not happy about this at all.","Counter({'work': 2, 'bonus': 1, 'ematic': 1, 'controller': 1, 'even': 1, 'item': 1, 'still': 1, 'happy': 1})",-0.4
1,3/4/2020,"I like the Switch Console and even with its quirks, at $299 it's fairly priced and hopefully will be again when the demand goes down.  It's nowhere nearly as powerful as what Playstation and Xbox offer but it's so much more flexible that it can get away with a $300 price tag.  $450 though?  No, not worth it at all.","Counter({'like': 1, 'switch': 1, 'console': 1, 'even': 1, 'quirk': 1, 'fairly': 1, 'priced': 1, 'hopefully': 1, 'demand': 1, 'go': 1, 'nowhere': 1, 'nearly': 1, 'powerful': 1, 'playstation': 1, 'xbox': 1, 'offer': 1, 'much': 1, 'flexible': 1, 'get': 1, 'away': 1, 'price': 1, 'tag': 1, 'though': 1, 'worth': 1})",0.238888889
5,4/4/2020,Nintendo Switch is just what I thought it would be! Straight entertainment out of the box. System was easy to set up and my daughters were able to be playing within 15 minutes. Directions were easy to follow and controls are similar to previous Nintendo systems. I love that you can play on the go as well as at home on the TV.,"Counter({'nintendo': 2, 'system': 2, 'easy': 2, 'switch': 1, 'thought': 1, 'would': 1, 'straight': 1, 'entertainment': 1, 'box': 1, 'set': 1, 'daughter': 1, 'able': 1, 'playing': 1, 'within': 1, 'minute': 1, 'direction': 1, 'follow': 1, 'control': 1, 'similar': 1, 'previous': 1, 'love': 1, 'play': 1, 'go': 1, 'well': 1, 'home': 1, 'tv': 1})",0.271428571
4,5/4/2020,"Perfect gift for my 7 year old! The whole family has enjoyed playing. Only complaint is how much $ the games and add ons are (for example the micro SD card you have to buy, extra remotes, etc). It added up VERY quickly.","Counter({'perfect': 1, 'gift': 1, 'year': 1, 'old': 1, 'whole': 1, 'family': 1, 'enjoyed': 1, 'playing': 1, 'complaint': 1, 'much': 1, 'game': 1, 'add': 1, 'ons': 1, 'example': 1, 'micro': 1, 'sd': 1, 'card': 1, 'buy': 1, 'extra': 1, 'remote': 1, 'etc': 1, 'added': 1, 'quickly': 1})",0.239814815
5,5/4/2020,very good my granson really likes it. but we did not recieve the didital down load for smash brothers not sure what to do about that no refund but was charged no e-mail for it either.. but got charged for it.,"Counter({'charged': 2, 'good': 1, 'granson': 1, 'really': 1, 'like': 1, 'recieve': 1, 'didital': 1, 'load': 1, 'smash': 1, 'brother': 1, 'sure': 1, 'refund': 1, 'either': 1, 'got': 1})",0.176111111
4,7/4/2020,"Delivered in 4 days. Just as described. The box he desplays is for the 2019 model HAC-001(01) and I was pleasantly surprised to receive exactly that. The only reason I gave him 4 stars instead of 5 is because the price is high. As you may know, many sellers have jacked up the prices. They are also displaying the box for the 2019 model but sending consumers the 2017 model (model HAC-001). This guy sent exactly what's displayed.","Counter({'model': 4, 'box': 2, 'exactly': 2, 'price': 2, 'delivered': 1, 'day': 1, 'described': 1, 'desplays': 1, 'pleasantly': 1, 'surprised': 1, 'receive': 1, 'reason': 1, 'gave': 1, 'star': 1, 'instead': 1, 'high': 1, 'may': 1, 'know': 1, 'many': 1, 'seller': 1, 'jacked': 1, 'also': 1, 'displaying': 1, 'sending': 1, 'consumer': 1, 'guy': 1, 'sent': 1, 'displayed': 1})",0.21
5,8/4/2020,"The Nintendo Switch is a wonderful platform. I love the fact it can be used as a handheld, or a portable console, or with the television. It has a wide variety of games that could engage anyone. A con for the Switch or Nintendo in general is Nintendo's handling of DRM, if you have multiple people using multiple consoles, BUY THE PHYSICAL GAME CARDS. Digital copies work fine if there's one person on two consoles though. My only complaint was with the shipping which was on Wal-Mart as they shipped it the day before it was supposed to arrive, and it arrived a day late. Otherwise everything was as expected with the order.","Counter({'nintendo': 3, 'console': 3, 'switch': 2, 'game': 2, 'multiple': 2, 'day': 2, 'wonderful': 1, 'platform': 1, 'love': 1, 'fact': 1, 'used': 1, 'handheld': 1, 'portable': 1, 'television': 1, 'wide': 1, 'variety': 1, 'could': 1, 'engage': 1, 'anyone': 1, 'con': 1, 'general': 1, 'handling': 1, 'drm': 1, 'people': 1, 'using': 1, 'buy': 1, 'physical': 1, 'card': 1, 'digital': 1, 'copy': 1, 'work': 1, 'fine': 1, 'one': 1, 'person': 1, 'two': 1, 'though': 1, 'complaint': 1, 'shipping': 1, 'shipped': 1, 'supposed': 1, 'arrive': 1, 'arrived': 1, 'late': 1, 'otherwise': 1, 'everything': 1, 'expected': 1, 'order': 1})",0.054761905
4,9/4/2020,"The Nintendo Switch itself was delivered in a timely fashion especially considering the large influx of online orders that were a result of COVID-19. However, I found it to be a bit disappointing that the prices were increased to profit more off of those who are largely affected by the pandemic and forced to work from home.","Counter({'nintendo': 1, 'switch': 1, 'delivered': 1, 'timely': 1, 'fashion': 1, 'especially': 1, 'considering': 1, 'large': 1, 'influx': 1, 'online': 1, 'order': 1, 'result': 1, 'however': 1, 'found': 1, 'bit': 1, 'disappointing': 1, 'price': 1, 'increased': 1, 'profit': 1, 'largely': 1, 'affected': 1, 'pandemic': 1, 'forced': 1, 'work': 1, 'home': 1})",0.004761905
1,9/4/2020,The Nintendo is cool and all but I got price gouged hard on it. I promised my kid one for Quarantine. Apparently people have been buying them out to resell on ebay and Amazon. I am one of those victims.,"Counter({'one': 2, 'nintendo': 1, 'cool': 1, 'got': 1, 'price': 1, 'gouged': 1, 'hard': 1, 'promised': 1, 'kid': 1, 'quarantine': 1, 'apparently': 1, 'people': 1, 'buying': 1, 'resell': 1, 'ebay': 1, 'amazon': 1, 'victim': 1})",0.036111111
5,10/4/2020,My family loves this system. And the capability of detaching the joypads is awesome for my daughters small hands.,"Counter({'family': 1, 'love': 1, 'system': 1, 'capability': 1, 'detaching': 1, 'joypads': 1, 'awesome': 1, 'daughter': 1, 'small': 1, 'hand': 1})",0.375
5,10/4/2020,The Nintendo Switch is super fun. I love that you can play Super Nintendo games for free. Got it to play Animal Crossing: New Horizons which is also super fun.,"Counter({'super': 3, 'nintendo': 2, 'fun': 2, 'play': 2, 'switch': 1, 'love': 1, 'game': 1, 'free': 1, 'got': 1, 'animal': 1, 'crossing': 1, 'new': 1, 'horizon': 1, 'also': 1})",0.329545455
5,16/4/2020,I loved this switch. Although it is the old model it is still very efficient and great. Ive been playing constantly through out this quarantine and I do not regret a single thing about this switch. The shipping was free and we extremely quick and I loved it. If I had to buy a switch for a friends or a relative i'd definitely come back here! 5/5,"Counter({'switch': 3, 'loved': 2, 'although': 1, 'old': 1, 'model': 1, 'still': 1, 'efficient': 1, 'great': 1, 'ive': 1, 'playing': 1, 'constantly': 1, 'quarantine': 1, 'regret': 1, 'single': 1, 'thing': 1, 'shipping': 1, 'free': 1, 'extremely': 1, 'quick': 1, 'buy': 1, 'friend': 1, 'relative': 1, 'definitely': 1, 'come': 1, 'back': 1})",0.263492063
5,17/4/2020,For the price I paid should had came with couple of free games and carrying case,"Counter({'price': 1, 'paid': 1, 'came': 1, 'couple': 1, 'free': 1, 'game': 1, 'carrying': 1, 'case': 1})",0.4
5,18/4/2020,"Grandkids love it. Cam join in games on line with subscription. One plays on ps4 in one room the other on switch in another room. We have extra controllers, it can be taken anywhere","Counter({'one': 2, 'room': 2, 'grandkids': 1, 'love': 1, 'cam': 1, 'join': 1, 'game': 1, 'line': 1, 'subscription': 1, 'play': 1, 'switch': 1, 'another': 1, 'extra': 1, 'controller': 1, 'taken': 1, 'anywhere': 1})",0.125
5,19/4/2020,Arrived late but that was because of the covid virus making shipping slower. Arrive in perfect condition and I can't put it down. I would order from this company again.,"Counter({'arrived': 1, 'late': 1, 'covid': 1, 'virus': 1, 'making': 1, 'shipping': 1, 'slower': 1, 'arrive': 1, 'perfect': 1, 'condition': 1, 'ca': 1, 'put': 1, 'would': 1, 'order': 1, 'company': 1})",0.181481481
5,23/4/2020,"Upon looking for a Nintendo Switch, I discovered that it had been sold out in many different stores. I searched all over Walmart and kept on checking every day to see if I can at least snatch a good deal. Fortunately, I found a system available through a third-party vendor, I purchased it and afterward decided to research more about the company I had just bought the item from. The reviews from past online purchases stated upon things such as the company having terrible service, never receiving the purchased item, being unpleased with the experience and etc. I was surprised to have just bought a very expensive item from a company that has ratings so poor. I became worried but nonetheless waited until my package came. Once it did, I had nothing to complain about. I was lucky to not have any bad experiences with my order despite the bad reviews. The system came tightly secured in a box and included the system in a new condition. And, the box itself did not come with any signs of mishandlings or damage. The Nintendo system itself has not given me any problems and it running very well. Overall, I was happy ordering from Ant-online and would recommend it to anyone interested in purchasing a product from them.","Counter({'system': 4, 'company': 3, 'item': 3, 'upon': 2, 'nintendo': 2, 'purchased': 2, 'bought': 2, 'review': 2, 'experience': 2, 'came': 2, 'bad': 2, 'box': 2, 'looking': 1, 'switch': 1, 'discovered': 1, 'sold': 1, 'many': 1, 'different': 1, 'store': 1, 'searched': 1, 'walmart': 1, 'kept': 1, 'checking': 1, 'every': 1, 'day': 1, 'see': 1, 'least': 1, 'snatch': 1, 'good': 1, 'deal': 1, 'fortunately': 1, 'found': 1, 'available': 1, 'vendor': 1, 'afterward': 1, 'decided': 1, 'research': 1, 'past': 1, 'online': 1, 'purchase': 1, 'stated': 1, 'thing': 1, 'terrible': 1, 'service': 1, 'never': 1, 'receiving': 1, 'unpleased': 1, 'etc': 1, 'surprised': 1, 'expensive': 1, 'rating': 1, 'poor': 1, 'became': 1, 'worried': 1, 'nonetheless': 1, 'waited': 1, 'package': 1, 'nothing': 1, 'complain': 1, 'lucky': 1, 'order': 1, 'despite': 1, 'tightly': 1, 'secured': 1, 'included': 1, 'new': 1, 'condition': 1, 'come': 1, 'sign': 1, 'mishandlings': 1, 'damage': 1, 'given': 1, 'problem': 1, 'running': 1, 'well': 1, 'overall': 1, 'happy': 1, 'ordering': 1, 'would': 1, 'recommend': 1, 'anyone': 1, 'interested': 1, 'purchasing': 1, 'product': 1})",0.006414797
5,23/4/2020,I wouldn't pay more than the 299.00. Purchased for rainy days during quarantine. Our kid loves mario kart. Olympics was a little too complicated for age. The joy cons are good but one of them doesn't always sync properly to use steering wheel. Might just need to be put back on switch.,"Counter({'would': 1, 'pay': 1, 'purchased': 1, 'rainy': 1, 'day': 1, 'quarantine': 1, 'kid': 1, 'love': 1, 'mario': 1, 'kart': 1, 'olympics': 1, 'little': 1, 'complicated': 1, 'age': 1, 'joy': 1, 'con': 1, 'good': 1, 'one': 1, 'always': 1, 'sync': 1, 'properly': 1, 'use': 1, 'steering': 1, 'wheel': 1, 'might': 1, 'need': 1, 'put': 1, 'back': 1, 'switch': 1})",0.1875
5,25/4/2020,It arrived way before the date. My children haven’t put it down since we got it!,"Counter({'arrived': 1, 'way': 1, 'date': 1, 'child': 1, 'put': 1, 'since': 1, 'got': 1})",-0.194444444
5,25/4/2020,Great Buy! Came packaged securely and worked/looked perfect.,"Counter({'great': 1, 'buy': 1, 'came': 1, 'packaged': 1, 'securely': 1, 'perfect': 1})",0.8
5,26/4/2020,My daughter loved,"Counter({'daughter': 1, 'loved': 1})",0.7
1,29/4/2020,The handle is broken only after 2 weeks...Can't find any resource to contact the seller to get it fix..,"Counter({'handle': 1, 'broken': 1, 'week': 1, 'ca': 1, 'find': 1, 'resource': 1, 'contact': 1, 'seller': 1, 'get': 1, 'fix': 1})",-0.2
5,29/4/2020,Shipping was fast and the product was received in flawless condition. Works perfectly and my family loves it!,"Counter({'shipping': 1, 'fast': 1, 'product': 1, 'received': 1, 'flawless': 1, 'condition': 1, 'work': 1, 'perfectly': 1, 'family': 1, 'love': 1})",0.733333333
5,1/5/2020,Probably a bad idea to get a Switch and Animal Crossing during final exams. I never want to put it down!,"Counter({'probably': 1, 'bad': 1, 'idea': 1, 'get': 1, 'switch': 1, 'animal': 1, 'crossing': 1, 'final': 1, 'exam': 1, 'never': 1, 'want': 1, 'put': 1})",-0.298148148
5,1/5/2020,Love the new Nintendo switch came quick with no damage and runs great,"Counter({'love': 1, 'new': 1, 'nintendo': 1, 'switch': 1, 'came': 1, 'quick': 1, 'damage': 1, 'run': 1, 'great': 1})",0.442424242
5,1/5/2020,Easy set up 😍 my niece loves it,"Counter({'easy': 1, 'set': 1, 'niece': 1, 'love': 1})",0.433333333
1,2/5/2020,The switch is normally $299,"Counter({'switch': 1, 'normally': 1})",0.15
1,3/5/2020,This product is way too expensive and shouldn't have the price raised 200 dollars because everyone wants it.,"Counter({'product': 1, 'way': 1, 'expensive': 1, 'price': 1, 'raised': 1, 'dollar': 1, 'everyone': 1, 'want': 1})",-0.15
5,3/5/2020,Thank you for your quick service! My daughter loved her birthday present!,"Counter({'thank': 1, 'quick': 1, 'service': 1, 'daughter': 1, 'loved': 1, 'birthday': 1, 'present': 1})",0.372222222
1,3/5/2020,Overpriced and looks like fake reviews on May1st,"Counter({'overpriced': 1, 'look': 1, 'like': 1, 'fake': 1, 'review': 1})",-0.5
5,3/5/2020,"Came earlier than initially said, which is always a plus. Have had it a week and absolutely no problems!!! Glad I found one when all stores were pretty much sold out all the time.","Counter({'came': 1, 'earlier': 1, 'initially': 1, 'said': 1, 'always': 1, 'plus': 1, 'week': 1, 'absolutely': 1, 'problem': 1, 'glad': 1, 'found': 1, 'one': 1, 'store': 1, 'pretty': 1, 'much': 1, 'sold': 1, 'time': 1})",0.12578125
5,6/5/2020,"The Switch Console has been sold out for months, due to the pandemic. I have searched everywhere that may sell a Switch but no luck. Fortunately, Walmart finally stocked 4 days ago, as it reflected on their site, stating Some are in Stock in a Walmart Near me(NORTH YORK), instead of its usual Out of Stock notice. I came to the closest one next to me, the next morning, and luckily, it wasn't a website glitch. The friendly staff helped me and advised they have JUST receive shipments the night before (The night I checked), as well Animal Crossing(which apparently has been sold out too). I bought both the console and the game, and could not be any more happier. Do not loose hope, the Switch are always in stock, you just have to check daily, and you will eventually find out at retail/regular price. :) SAVE YOUR PENNIES, GO TO WALMART.","Counter({'switch': 3, 'walmart': 3, 'stock': 3, 'console': 2, 'sold': 2, 'next': 2, 'night': 2, 'month': 1, 'due': 1, 'pandemic': 1, 'searched': 1, 'everywhere': 1, 'may': 1, 'sell': 1, 'luck': 1, 'fortunately': 1, 'finally': 1, 'stocked': 1, 'day': 1, 'ago': 1, 'reflected': 1, 'site': 1, 'stating': 1, 'near': 1, 'north': 1, 'york': 1, 'instead': 1, 'usual': 1, 'notice': 1, 'came': 1, 'closest': 1, 'one': 1, 'morning': 1, 'luckily': 1, 'website': 1, 'glitch': 1, 'friendly': 1, 'staff': 1, 'helped': 1, 'advised': 1, 'receive': 1, 'shipment': 1, 'checked': 1, 'well': 1, 'animal': 1, 'crossing': 1, 'apparently': 1, 'bought': 1, 'game': 1, 'could': 1, 'happier': 1, 'loose': 1, 'hope': 1, 'always': 1, 'check': 1, 'daily': 1, 'eventually': 1, 'find': 1, 'price': 1, 'save': 1, 'penny': 1, 'go': 1})",0.101452991
4,7/5/2020,"Price is higher than retail, agreed, if you want it now, great seller at a price point for today’s environment. Hated to spend the addition $$, however, they have the product and it was delivered as advertised. Thought about going with the light which Best Buy may have had  delivered on June first. Not a good choice for us.","Counter({'price': 2, 'delivered': 2, 'higher': 1, 'retail': 1, 'agreed': 1, 'want': 1, 'great': 1, 'seller': 1, 'point': 1, 'today': 1, 'environment': 1, 'hated': 1, 'spend': 1, 'addition': 1, 'however': 1, 'product': 1, 'advertised': 1, 'thought': 1, 'going': 1, 'light': 1, 'best': 1, 'buy': 1, 'may': 1, 'june': 1, 'first': 1, 'good': 1, 'choice': 1, 'u': 1})",0.207142857
5,11/5/2020,"One of the best investments you can make especially if you have been a long time fan of Nintendo and it's console history. The versatility of the system and joy cons makes it one of a kind, combining all the best features of a handheld device and a TV mounted device. Bought this as a part of a Walmart customizable package that included a backpack, game, and pin. Highly recommend.","Counter({'one': 2, 'best': 2, 'make': 2, 'device': 2, 'investment': 1, 'especially': 1, 'long': 1, 'time': 1, 'fan': 1, 'nintendo': 1, 'console': 1, 'history': 1, 'versatility': 1, 'system': 1, 'joy': 1, 'con': 1, 'kind': 1, 'combining': 1, 'feature': 1, 'handheld': 1, 'tv': 1, 'mounted': 1, 'bought': 1, 'part': 1, 'walmart': 1, 'customizable': 1, 'package': 1, 'included': 1, 'backpack': 1, 'game': 1, 'pin': 1, 'highly': 1, 'recommend': 1})",0.38875
5,12/5/2020,Love this system. So portable. Easy to hook up or move from room to room or even house to house. Prices are jacked up because of demand but still love it.,"Counter({'love': 2, 'room': 2, 'house': 2, 'system': 1, 'portable': 1, 'easy': 1, 'hook': 1, 'move': 1, 'even': 1, 'price': 1, 'jacked': 1, 'demand': 1, 'still': 1})",0.477777778
2,12/5/2020,"Well, love the Nintendo Switch and games, but the dock literally lasted 40 days and is now not connecting to the TV. The switch still works, a aftermarket portable connection to the TV works, but not the dock. tried all of the fixes on line (plugging it in a certain order, switching cables, etc) no joy. Then Nintendo says their warranty repairs are closed for Covid-19. Great $300 console plus $60 games + $200 worth of accessories to have a part break in under 60 days.","Counter({'nintendo': 2, 'switch': 2, 'game': 2, 'dock': 2, 'day': 2, 'tv': 2, 'work': 2, 'well': 1, 'love': 1, 'literally': 1, 'lasted': 1, 'connecting': 1, 'still': 1, 'aftermarket': 1, 'portable': 1, 'connection': 1, 'tried': 1, 'fix': 1, 'line': 1, 'plugging': 1, 'certain': 1, 'order': 1, 'switching': 1, 'cable': 1, 'etc': 1, 'joy': 1, 'say': 1, 'warranty': 1, 'repair': 1, 'closed': 1, 'great': 1, 'console': 1, 'plus': 1, 'worth': 1, 'accessory': 1, 'part': 1, 'break': 1})",0.219047619
