"rating","date","content","title","variant","images","verified","author","product","url"
"5.0","23-Sep-2019","This is perfect for people who want access to Switch games on a budget...as long as they're willing to go exclusively handheld. Having used both the Switch Lite and the original Switch (in handheld mode), I have to say there are some vast improvements in handheld gaming when it comes to the Lite. Of course, this is to be expected--the device is specialized for a reason. Basically, here were some of my favorite aspects of the Lite: -You still get those lovely, iconic Nintendo sounds. -Access to Nintendo Switch Exclusives -Cheaper than the original -Amazing, smooth touchscreen -High quality picture...absolutely breathtaking. Cons (which you should already know if you've done your research): -No docking/tabletop modes -Have to buy joy cons (and a charging port for said joy cons) separately to play 2-player games or games that are not supported in handheld mode -The battery life could be better...playing Super Mario Odyssey, I got about 3.5 hours out of my brand new Switch Lite. Overall, I HIGHLY recommend this gaming system. All of the cons are obvious ones that are not being hidden by the company...if you're interested in what the Switch Lite has to offer, you won't be disappointed when it arrives.","You get your money's worth; trust me!!","Color: Turquoise Style: Lite Console","https://images-na.ssl-images-amazon.com/images/I/61St8Gg8BFL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/61h1b-ORHmL._SY88.jpg","Verified Purchase","Alexis","Nintendo Switch Lite - Turquoise","https://www.amazon.com/Nintendo-Switch-Lite-Turquoise/product-reviews/B07V4GCFP9/ref=cm_cr_dp_d_show_all_btm2?ie=UTF8&pageNumber=2&reviewerType=all_reviews
"
"5.0","07-Oct-2019","When the original Switch came out, everyone wanted one. It was the most wanted console in 2017 during the holiday season. Nintendo couldn't meet the demand so sellers would offer them for exorbitant prices, for those who so badly wanted to purchase one. It was a big step up from the Wii U console that couldn't be used as a handheld console. Fast forward to 2019, Nintendo releases the Switch Lite. Is it technically a Switch? Unfortunately, no. For starters, you can no longer place it in a dock and play games on your big screen T.V. I never used the dock/kickstand with my original Switch. Portability was my main reason for purchasing the original Switch. If you like to play games only in handheld mode, then the Lite is for you. Pros: 1. It's lighter and feels more durable. The Switch Lite feels solidly built. 2. $100 cheaper than the OG Switch. 3. Internally the same as the OG Switch. 4. Plays almost all the games the OG Switch can. 5. D-pad 6. Fits in your pocket. Cons: 1. Can no longer play games on your big screen T.V. or table top mode. 2. Decreased battery life. 3. No more detachable joycons. 4. Much smaller screen than the original Switch. All in all, the Switch Lite would be a perfect gift for handheld gamers at an affordable price. I highly recommend it.","Switch Lite for Handheld gaming only","Color: Turquoise Style: Lite Console","https://images-na.ssl-images-amazon.com/images/I/71QwamicFhL._SY88.jpg","Verified Purchase","Mr. James","Nintendo Switch Lite - Turquoise","https://www.amazon.com/Nintendo-Switch-Lite-Turquoise/product-reviews/B07V4GCFP9/ref=cm_cr_dp_d_show_all_btm2?ie=UTF8&pageNumber=2&reviewerType=all_reviews
"
"5.0","22-Sep-2019","Much easier to handle and more robust. Even though the weight  is technically only about 25% lighter—- it feels about 50% so. The screen is smaller but I really didn’t notice a difference yet with gameplay but will update in about a week.  Apart from that it’s the perfect gaming console for on the go or even at home. Much easier to hold for hours at a time. Better internet connection and faster downloads than the original switch somehow though specs are the same.  However : It’s annoying during setup to link your account to an existing user and also maintain data in another console like my original switch. It offers this during setup but then says you can’t until you update software. But to update software you have to complete setup creating a new user anyway. Stupid. And once you do this, then you have to go back into the menu and select save-data  to cloud and sign in etc. Also you should make switch the primary console on your account- so that you don’t have to keep verifying games(using an internet connection) that you purchased on another switch previously- which is automatically set as primary. The lite is always going to be used on the go- so it may not always have an internet connection available to verify you are licensed to play the game. Didn’t take off a star though as that isn’t how the console should be rated. If this is useful please check the usual box :)","Feels about 50% lighter and faster","Color: Gray Style: Lite Console","","Verified Purchase","Ashley D","Nintendo Switch Lite - Turquoise","https://www.amazon.com/Nintendo-Switch-Lite-Turquoise/product-reviews/B07V4GCFP9/ref=cm_cr_dp_d_show_all_btm2?ie=UTF8&pageNumber=2&reviewerType=all_reviews
"
"5.0","22-Sep-2019","I've been wanting a smaller version of the Switch since last year. The original switch it too big to take on the go. Switch Lite is a lot smaller, lighter, slightly better battery life. Best of all, It's easier to take with me where ever I go compared to the original. 5/5 stars.  Thanks Nintendo.","Switch Lite","Color: Gray Style: Lite Console","https://images-na.ssl-images-amazon.com/images/I/51XbiVXJlKL._SY88.jpg
https://images-na.ssl-images-amazon.com/images/I/61uLS86iEBL._SY88.jpg","Verified Purchase","User","Nintendo Switch Lite - Turquoise","https://www.amazon.com/Nintendo-Switch-Lite-Turquoise/product-reviews/B07V4GCFP9/ref=cm_cr_dp_d_show_all_btm2?ie=UTF8&pageNumber=2&reviewerType=all_reviews
"
"1.0","06-Apr-2020","So at Best Buy the same item Nintendo switch is $199.99 Your item is $299","Price match","Color: Turquoise Style: Lite Console","","Verified Purchase","Alfonso Olvera","Nintendo Switch Lite - Turquoise","https://www.amazon.com/Nintendo-Switch-Lite-Turquoise/product-reviews/B07V4GCFP9/ref=cm_cr_dp_d_show_all_btm2?ie=UTF8&pageNumber=2&reviewerType=all_reviews
"
"5.0","22-Sep-2019","I just received this yesterday. So far I like it. My daughter has the regular Switch in her room. I thought I’d like to have one but didn’t want to hook one up to my TV since my husband is always watching tv programs. I heard there was one that was just handheld . I have always had a Nintendo handheld. I loved the 3DS but no new games out. I played it for hours yesterday. I’m an adult, a grandmother, have played Nintendo games since the 1980’s.","Nintendo Switch lite","Color: Yellow Style: Lite Console","","Verified Purchase","Mary","Nintendo Switch Lite - Turquoise","https://www.amazon.com/Nintendo-Switch-Lite-Turquoise/product-reviews/B07V4GCFP9/ref=cm_cr_dp_d_show_all_btm2?ie=UTF8&pageNumber=2&reviewerType=all_reviews
"
"5.0","24-Sep-2019","I was ecstatic when the first switch was announced two years ago. I've always loved the feeling of gaming on a handheld device, having grown up with the Gameboy, Gameboy color and Gameboy advance. Years later the PSP and Vita garnered my attention. Console gaming on a TV has its place, as does gaming on a PC. However, there is something that just feels more intimate about a handheld device you can play while sitting on the couch in a relaxed position. Or even more being able to take the experience with you and combat the total boredom of a three hour layover at the airport, followed by another half day in a cramped airplane. I had a switch since it's initial release and while it offered a good experience as a handheld it still lacked something compared to the Gameboy and Playstation devices. Breath of the wild on the go felt like a step in the right direction. But I feel as if the steps were impacted by heavy boots, an awkward and somewhat uncomfortable delivery for the experience. I'm not saying that the switch was a bad design but it was far from ideal given my expectations. Over the past two years my switch never went into the dock to display on my TV, it resigned to a dedicated handheld that eventually lapsed into a distraction only to be used while traveling. The awkward flex of the joycons mixed with the weight and size of the switch let me down a little. But for occasional use I could see past the flaws. Now, onto the switch lite. Immediately after unboxing and holding the device I could tell that this is what I had wanted in the switch two years ago. The weight is well balanced as my hands sit naturally onto the controls and there is no flex when gripping firmly. It's reminiscent of the Vita in all of the best ways. Only this time there's a game library that provides adequate variety. My first impressions could be tainted by the paired release of Link's Awakening, which is wonderful I might add. Finally, I found myself fully engulfed in gaming on the switch. It was like reliving my childhood, spending hours with my Gameboy in my grasp on the very same title. As expected, my hands didn't cramp after a half hour of use like they would with the original switch. The battery held sufficient charge to stay away from the outlet on the other side of my couch for hours on end as well. In my eyes it is perfect in every possibly way as a dedicated handheld gaming console. At last I'm content to finally have a true Vita replacement.","Finally a true Vita replacement","Color: Gray Style: Lite Console","","Verified Purchase","Lucas L","Nintendo Switch Lite - Turquoise","https://www.amazon.com/Nintendo-Switch-Lite-Turquoise/product-reviews/B07V4GCFP9/ref=cm_cr_dp_d_show_all_btm2?ie=UTF8&pageNumber=2&reviewerType=all_reviews
"
"1.0","21-Sep-2019","So I own the new switch model That is mounted on my wall And just got this I love it I’m 34 and have three kids the perfect system for a break from the kids once in awhile hope Joycons last but all the buttons feel way better on the lite, this has a flaw the JoyCons will drift after awhile of use and I just sent mine back to amazon to buy older model","Better than the switch for me updated defect","Color: Gray Style: Lite Console","","Verified Purchase","dingess family buyer","Nintendo Switch Lite - Turquoise","https://www.amazon.com/Nintendo-Switch-Lite-Turquoise/product-reviews/B07V4GCFP9/ref=cm_cr_dp_d_show_all_btm2?ie=UTF8&pageNumber=2&reviewerType=all_reviews
"
"1.0","22-Sep-2019","Mine came with a defective left joystick, and I’ve heard of numerous other issues.","Be Ready to Return It","Color: Yellow Style: Lite Console","","Verified Purchase","Anon","Nintendo Switch Lite - Turquoise","https://www.amazon.com/Nintendo-Switch-Lite-Turquoise/product-reviews/B07V4GCFP9/ref=cm_cr_dp_d_show_all_btm2?ie=UTF8&pageNumber=2&reviewerType=all_reviews
"
"1.0","25-Sep-2019","With less than 5 hours of use the left joystick began to have a drift issue where pushing left on it would result in it moving towards the center. They didn't change the design of the joysticks on the lite model from the old normal switch model, so they all have the propensity to drift, except you can't simply replace the joycons on the lite model. Would definitely not recommend.","Left joystick not working properly","Color: Gray Style: Lite Console","","Verified Purchase","Brandon","Nintendo Switch Lite - Turquoise","https://www.amazon.com/Nintendo-Switch-Lite-Turquoise/product-reviews/B07V4GCFP9/ref=cm_cr_dp_d_show_all_btm2?ie=UTF8&pageNumber=2&reviewerType=all_reviews
"
"3.0","21-Sep-2019","Picked this up in addition to my original Switch console. Very light weight, and smaller size, but this does include the screen. Can be hard to read some game text at times. Also lacks rumble feature which is disappointing. Sound is good, audio jack is still at the top. Still no bluetooth audio connection. Doesn't seem to work well with games that track controller motions. Makes a great second console, but I wouldn't recommend this for your only Switch, you'll be missing out on too much. The bright yellow is bright, and occasionally distracting, but it's a nice change from basic black.","Lightweight, portable Switch.","Color: Yellow Style: Lite Console","","Verified Purchase","scottjl","Nintendo Switch Lite - Turquoise","https://www.amazon.com/Nintendo-Switch-Lite-Turquoise/product-reviews/B07V4GCFP9/ref=cm_cr_dp_d_show_all_btm3?ie=UTF8&pageNumber=3&reviewerType=all_reviews
"
"3.0","23-Sep-2019","First I want to say that I absolutely love the Switch; so much so that this is the 3rd one I have purchased for my household. As a system and concept I give a full 5 stars easy. However, my new Switch Lite had 2 issues that were enough for me to drop a star each. 1. Brand new out of the box the entire left side of my console stuck and clicked audibly on both the joystick and the D-pad. Amazon quickly sent an exchange unit which did not have this issue but the experience on my first unit, along with the joycon drift on my joycons, gave me a twinge of buyer's remorse. It does not appear that Nintendo implemented their design changes into the new Lite's. I personally feel it is only a matter of time till the same issues present itself and this time I will not have option to just send in my joycon for a replacement. (Deduct 1-star) 2. The second issue is related to Nintendo's OS on the Switch. During the initial system launch my console timed-out during the system transfer and got stuck in a prompt for me to remove my joycons. I performed a hard reset and the same issue happened again. On the third attempt I opted not to perform a system transfer and everything proceeded as normal. While this is not a huge issue, coupled with Nintendo's archaic policies on game sharing across your own consoles were enough for me to deduct another star. In 2019 there is no reason I should not be able to play a digital game I purchased on any console I own without a DRM check between consoles. (Deduct 1-star) Aside from the 2 issues, I love the form factor of the Switch Lite compared to the first version. The weight feels right and there is nothing like having a true D-pad to work with. I find myself using the D-pad in menus way more than the left joystick. The reduction in screen-size has not been noticeable to me (33 year old male) even on games that usually have small font like Fire Emblem.","The Perfect Switch (Minus 2-stars for issues)","Color: Yellow Style: Lite Console","","Verified Purchase","IBuyNReview","Nintendo Switch Lite - Turquoise","https://www.amazon.com/Nintendo-Switch-Lite-Turquoise/product-reviews/B07V4GCFP9/ref=cm_cr_dp_d_show_all_btm3?ie=UTF8&pageNumber=3&reviewerType=all_reviews
"
"5.0","20-Sep-2019","Havn't had a handheld gaming device since the PSP... Loving this. Will update after playing for a few days.","THE Christmas Must-Have","Color: Turquoise Style: Lite Console","","Verified Purchase","Whoareyou","Nintendo Switch Lite - Turquoise","https://www.amazon.com/Nintendo-Switch-Lite-Turquoise/product-reviews/B07V4GCFP9/ref=cm_cr_dp_d_show_all_btm3?ie=UTF8&pageNumber=3&reviewerType=all_reviews
"
