"title","content","date","variant","images","verified","author","rating","product","url"
"Good","Worked as expected and arrived a little early than expected.","18 Jul 2020","","","Verified Purchase","Amazon Customer","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&pageNumber=18&reviewerType=all_reviews
"
"H","Great","18 Jul 2020","","","Verified Purchase","Kay","4.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_18?ie=UTF8&pageNumber=18&reviewerType=all_reviews
"
"5 Star","Came before the estimated date, worth the price for convenience.","04 Jun 2020","","","Verified Purchase","martin","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&pageNumber=19&reviewerType=all_reviews
"
"Yee","Came in a day eirly i no longer use my lite except for pokemon","11 Jun 2020","","","Verified Purchase","chance joseph duplantis","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&pageNumber=19&reviewerType=all_reviews
"
"Cool","It was a birthday present for my grandson","11 Aug 2020","","","Verified Purchase","Tonya","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&pageNumber=19&reviewerType=all_reviews
"
"Me gusta","Yego completo y fue una buena inversión","20 Sep 2020","","","Verified Purchase","Lucely","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&pageNumber=19&reviewerType=all_reviews
"
"Excelente","Me gustó todo fue a tiempo y eficiente","05 Nov 2020","","","Verified Purchase","José Cabrera","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&pageNumber=19&reviewerType=all_reviews
"
"Will have got buy a SD card since it’s only 32GB storage","Arrived faster than expected. Love it","22 Aug 2020","","","Verified Purchase","Jack Martin Skinner","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&pageNumber=19&reviewerType=all_reviews
"
"Amazing and we'll worth the buy","My daughter is so excited for this switch","28 Jun 2020","","","Verified Purchase","Jules powers","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&pageNumber=19&reviewerType=all_reviews
"
"Nintendo Switch","It was in perfect condition and I love it","12 Jun 2020","","","Verified Purchase","David Strohm","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&pageNumber=19&reviewerType=all_reviews
"
"best product","Amazing, totally loving it","13 Jun 2020","","","Verified Purchase","Hamyt A. Reyes","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&pageNumber=19&reviewerType=all_reviews
"
"Fast delivery","Awesome game and fast delivery","29 Jul 2020","","","Verified Purchase","jose","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_19?ie=UTF8&pageNumber=19&reviewerType=all_reviews
"
"🔥","Too easy worth it","23 Jul 2020","","","Verified Purchase","Antino Thompson","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_20?ie=UTF8&pageNumber=20&reviewerType=all_reviews
"
"perfect condition","good","21 Jun 2020","","","Verified Purchase","Juliana Noble","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_20?ie=UTF8&pageNumber=20&reviewerType=all_reviews
"
"Great","Standard switch","19 Oct 2020","","","Verified Purchase","Amazon Customer","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_20?ie=UTF8&pageNumber=20&reviewerType=all_reviews
"
".","Llego antes de tiempo","05 Jul 2020","","","Verified Purchase","Ken","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_20?ie=UTF8&pageNumber=20&reviewerType=all_reviews
"
"Good","Good. Not a bot","08 Aug 2020","","","Verified Purchase","Brian Lebs","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_20?ie=UTF8&pageNumber=20&reviewerType=all_reviews
"
"A very good device","It works very well","07 Sep 2020","","","Verified Purchase","Shane Stevick","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_20?ie=UTF8&pageNumber=20&reviewerType=all_reviews
"
"😊","😄","22 Oct 2020","","","Verified Purchase","KDMPastor","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_20?ie=UTF8&pageNumber=20&reviewerType=all_reviews
"
"Great system!!","Great system!","02 Jan 2020","What's this?","","Verified Purchase","Sarah Brett","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_20?ie=UTF8&pageNumber=20&reviewerType=all_reviews
"
"Price Gouging","prick","03 Jun 2020","","","","Jay","1.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_20?ie=UTF8&pageNumber=20&reviewerType=all_reviews
"
"Price gouging","People should be ashamed of themselves. This is price gouging","06 Jun 2020","","","","Mario G. Mendoza","1.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_20?ie=UTF8&pageNumber=20&reviewerType=all_reviews
"
"Price gouging!!!","Good thing this not an essential item or this would be price gouging!!!","06 Jun 2020","","","","Albert C.","1.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_21?ie=UTF8&pageNumber=21&reviewerType=all_reviews
"
"Too much money","The price is to over the real Price","09 Jun 2020","","","","lara podavin","1.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_21?ie=UTF8&pageNumber=21&reviewerType=all_reviews
"
"Price gouged like mad","PRICE GOUGING!!!!! A SWITCH DOES NOT COST AND IS NOT WORTH $477 THIS IS UNBELIEVABLE","11 Jun 2020","","","","Jonathan Parry","1.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_21?ie=UTF8&pageNumber=21&reviewerType=all_reviews
"
"over priced","don't buy until it comes back down to the correct price","16 Jun 2020","","","","K","1.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_21?ie=UTF8&pageNumber=21&reviewerType=all_reviews
"
"Price gouging","Everyone know the switch is only $300 right? I hope so","23 Jun 2020","","","","Austin junior","1.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_21?ie=UTF8&pageNumber=21&reviewerType=all_reviews
"
"scam","Only an idiot would pay this price. Get real, losers. This is price gouging.","22 Jun 2020","","","","Jacob Cooper","1.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_21?ie=UTF8&pageNumber=21&reviewerType=all_reviews
"
"Overpriced","Overpriced and 2017 version. Better to buy 2019 Version at retail price ($299).","22 Jun 2020","","","","Ruben Rios","1.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_21?ie=UTF8&pageNumber=21&reviewerType=all_reviews
"
"Simply The BEST Console","Honestly, I’m in love. I haven’t really had a real current-gen console since college (about a decade). I bought an old Wii a few years back just for some party games (wasn’t a fan) and messed around with 3DS casually here and there but things changed when I got a Switch. It’s just absolutely brought me fully back into the gaming world. All of the Nintendo branded games are solid winners. Mario Odyssey was an amazing and fun game to test the waters with, Zelda BotW is the deepest and best game I’ve ever played, Astral Chain is awesome fun, Animal Crossing is causal and super relaxing, and there are SO many amazing ports from other consoles that it almost feels pointless getting any other system. If you want more serious/intense action RPGs Skyrim is massive, Assassin’s Creed is a blast, Dragon’s Dogma is an underrated classic, and there are endless other options. Also the best for multiplayer games - Super Smash, Mario Kart, Overcooked are some of my wife and I’s favorites. My friend lent me a PS4, and while the games are bigger and with better graphics, nothing really beats being able to play your game on the big screen then grab it and play it on the couch or on the go. So convenient, so good. Nintendo really nailed it on this one. Everything about it feels pretty perfectly designed. Battery life is about 4-5ish hours, just need to get a good sized micro-sd for digital games and you’re good to go. Seriously one of the best purchases I’ve made in a long time (Note - I bought my Switch a month before Covid hit so I got it for the standard price of about $300 - avoid the price gouged $400-500 price tags. You can find it cheaper elsewhere or just wait for the price to go back down)","12 Jul 2020","","","","BDeLoach","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_21?ie=UTF8&pageNumber=21&reviewerType=all_reviews
"
"WAIT!!!!","Way too much for a switch!!!! I bought my og one for $300!!!","24 Jun 2020","","","","Athila Padilha","1.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_21?ie=UTF8&pageNumber=21&reviewerType=all_reviews
"
"Price","Price is too high lol...","18 Jun 2020","","","","Link","1.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_21?ie=UTF8&pageNumber=21&reviewerType=all_reviews
"
"An updated Nintendo Switch comes out next year.","I don't think people should have to pay more than retail for a product. Unless you are desperate to play a game on this system I would suggest patience and wait till they are back in a regular amount of stock. Of course I am not here to judge people who want to spend that kind of money I just personally don't think it is worth and going by the comments some of you seem to regret it. Nintendo just announced next year there will be an updated Switch which to me makes it even less worthwhile.","03 Sep 2020","","","","JD785","2.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&pageNumber=22&reviewerType=all_reviews
"
"Robbery","Who’s paying $467 for a switch.  You are throwing your money away, do not buy this.","25 Jun 2020","","","","Hy","1.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&pageNumber=22&reviewerType=all_reviews
"
"Ridiculous and unethical","No one should buy this under any circumstances, blatantly price gouging","26 Jun 2020","","","","Charles","1.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&pageNumber=22&reviewerType=all_reviews
"
"Expected more","I've owned Nintendo products my whole life. I was 2 when the NES released and had my first one when I was 6. I love Nintendo consoles and games. I love that I can leave my kids to play with them and not worry about inappropriate content. We bought our first switch just over a year ago. We loved everything about it from the mobility to the graphics. Mario kart became an instant family tradition. Unfortunately, the charging port went out, just after warranty. One thing we've come to love from Nintendo is the durability. I have an original NES that still works. We have a WII that's 15 years old and still going strong. To only get a year out of a $400 console is unacceptable.  I've been told that it likely can't be repaired, as the motherboard is so thin it doesn't accept new soldering without blowing through it. Now we are stuck with a $400 paper weight. Super disappointed.","01 Aug 2020","","","","Brittany Newton","1.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&pageNumber=22&reviewerType=all_reviews
"
"Item gone/different price","Tried to purchase today for the 299 and every time it was clicked to add to cart it wouldn't let me... glitch in system made me not be able to get item needed. No one in Amazon help is able to help with the issue either. Tried via chat and phone.","29 Jun 2020","","","","K","1.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&pageNumber=22&reviewerType=all_reviews
"
"Love Product but Not the Company","First, I'm going to start by saying there are a ton of things to love about the Nintendo Switch. The problem I have has more to do with the service provided by Nintendo. A company is not only judged by what they can produce but how they stand behind their products. I had a game card that started failing shortly after 90 days and so I contacted the Nintendo technical support. I was told the repair would be $30 and an additional $10 in shipping. I was also told it would take 5 weeks time for the repair. Now this is where I need to be pretty blunt. Asking me to pay $40 to repair a game card when the original game was only $49.95 is an absolute rip off and not a sound investment. Furthermore, you don't repair these kinds of game cartridges. Inside the card is usually a single IC chip soldered to a board so the chip can be read by the card reader. Even Intel does not ""repair"" their CPUs or other IC chips so it is easy for me to say Nintendo does not either. If anything, the unit will be replaced, which does not take 5 weeks. At this point, what adds insult to injury is the same game is available on the Nintendo eShop for $59.95. The digital download version of the game does not suffer the same issues with losing your game due to faulty cartridges. The use of digital copies has been huge for movies, and many of them give it to you for free. Nintendo has you pay more and it is a separate purchase as if you did not have the game to begin with. My issue here is I do not have any mechanism to backup my games to protect them without using the same tools used by bootleggers. I should not have to resort to such a tactic and Nintendo should do more to support my investment. Taking this one step further, I have issue with the fact Nintendo does not put any warranty information on the outside packaging so a buyer can be aware before making the decision to purchase their products. Even on Amazon, you are linked to another page and then referred to the manufacturer with no direct link. As a game buyer, whether retail or online, products are not very readily available for inspection. In standard brick-and-mortar stores, you have to get a sales assistant to review the package. Online, you are limited to what the retailer has decided to make available. In any case, I should not find out the details when I am most in need. So if you are buying into this game console ecosystem, there is more to the decision than how exciting their games are because the service is nothing but exciting and are at best reluctant to stand behind their products. I have given this product a single star because my decision to purchase the Nintendo Switch has been met with nothing more than being on my own after spending a lot of money. Excited gamers means lots of sales. Gamers who feel they have been taken advantage of simply have options with other consoles. I think you can guess which category I'm in and I hope you think twice about the company behind this one.","26 Oct 2020","","","","BLewis","1.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&pageNumber=22&reviewerType=all_reviews
"
"Price gouging is horrible...","This is straight up price gouging. And the product could end up not working. If you don’t wanna pay an insane amount of extra money just wait.","06 Jul 2020","","","","Jeremiah","1.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&pageNumber=22&reviewerType=all_reviews
"
"Gauged","Cost","30 Jun 2020","","","","Y Kim","1.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&pageNumber=22&reviewerType=all_reviews
"
"don’t buy","nintendo switch is 300","18 Jul 2020","","","","Lazo","1.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&pageNumber=22&reviewerType=all_reviews
"
"Do not buy this!!!","I WAS going to buy one but the price is way to over priced. This is not even Nintendo selling these, a vendor is buy them all up and re-selling them at a horribly high cost. You would be wasting your money buying this even if Is money that you are getting from unemployment /stimulus Check. Please do better and look else where it’s not worth it","03 Sep 2020","","","","Reag","1.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&pageNumber=22&reviewerType=all_reviews
"
"Price","Over priced","05 Jul 2020","","","","javier","1.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&pageNumber=23&reviewerType=all_reviews
"
"Lol","I absolutely loved the price.....yeah no only if you make as much as mario collecting coins on a bonus level.... Really?!","14 Jul 2020","","","","Unsourced","1.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&pageNumber=23&reviewerType=all_reviews
"
"Joycon don't last!","Bought the Switch for Christmas 2017.  It's Sept. 2020 and I just purchased the third set of Joycon.  Bought the 2nd set of Joycon while I sent in the original Joycon in for repair.  Had to buy a third since both left Joycon drift , so we needed a third set.  Nintendo repair service is backed up, so buy  back up Joycon or just don't buy the system in the first place.  It's too bad it's a good system, the  Joycon are just poorly designed and made.","21 Sep 2020","","","","Dave","3.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&pageNumber=23&reviewerType=all_reviews
"
"Love my switch","Likes : Easy to set up & use Fun for all ages depending on games Like that you can buy and download games Portable & tv hook up Love that you can buy multiple controllers and styles Almost like an adult Nintendo DS Battery life is amazing Easy to store and hide / small gaming council I’m not much of a gamer or into big gaming devices but I LOVE THIS dislikes : Nothing","04 Nov 2020","","","","Tori Lee","5.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&pageNumber=23&reviewerType=all_reviews
"
"Great but bad for the price.","Everything about this is great accept the battery life and joycons. The joycons drift like crazy for no reason and the thing lasts a lousy 4 hours on full charge. And this is a handheld so it should last at least 8 hours. Also the dock scratches the screen. At this price there should be less of this. (I'm Mary's son, mary is her account name)","19 Sep 2020","","","","Mary","3.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&pageNumber=23&reviewerType=all_reviews
"
"WAIT TILL NEXT YEAR!","It's overpriced and a waste of money. DO NOT BUY WAIT TILL NEXT YEAR!","03 Sep 2020","","","","foolishninbois","1.0","Nintendo Switch 32GB Console Video Games w/ 32GB Memory Card | Neon Red/Neon Blue Joy-Con | 1080p Resolution | 802.11ac WiFi | HDMI | Surround Sound | IR Motion Camera","https://www.amazon.com/Nintendo-Console-Resolution-802-11ac-Surround/product-reviews/B07RGFF98S/ref=cm_cr_arp_d_paging_btm_23?ie=UTF8&pageNumber=23&reviewerType=all_reviews
"
